Hessian PD,,,,,,Hessian PD and max_grad < 0.1,,,,
Scenario Number,OM,EM,Percent True,Mean Number of Jitters,,Scenario Number,OM,EM,Percent True,Mean Number of Jitters
1,GT_OM_perf_wdat,AE_mat,100,2.44,,1,GT_OM_perf_wdat,AE_mat,84,2.44
2,GT_OM_perf_wdat,AE_mat_constant,74,10,,2,GT_OM_perf_wdat,AE_mat_constant,0,10
3,GT_OM_perf_wdat,AE_mat_linear,30,10,,3,GT_OM_perf_wdat,AE_mat_linear,0,10
4,GT_OM_perf_wdat,AE_mat_curvilinear,74,7.84,,4,GT_OM_perf_wdat,AE_mat_curvilinear,24,7.84
5,GT_OM_constant_wdat,AE_mat,98,4.24,,5,GT_OM_constant_wdat,AE_mat,64,4.24
6,GT_OM_constant_wdat,AE_mat_constant,100,3.88,,6,GT_OM_constant_wdat,AE_mat_constant,68,3.88
7,GT_OM_constant_wdat,AE_mat_linear,12,10,,7,GT_OM_constant_wdat,AE_mat_linear,0,10
8,GT_OM_constant_wdat,AE_mat_curvilinear,96,5.14,,8,GT_OM_constant_wdat,AE_mat_curvilinear,54,5.14
9,GT_OM_linear_wdat,AE_mat,92,7.84,,9,GT_OM_linear_wdat,AE_mat,24,7.84
10,GT_OM_linear_wdat,AE_mat_constant,92,6.58,,10,GT_OM_linear_wdat,AE_mat_constant,38,6.58
11,GT_OM_linear_wdat,AE_mat_linear,92,4.06,,11,GT_OM_linear_wdat,AE_mat_linear,66,4.06
12,GT_OM_linear_wdat,AE_mat_curvilinear,76,6.4,,12,GT_OM_linear_wdat,AE_mat_curvilinear,40,6.4
13,GT_OM_curvilinear_wdat,AE_mat,98,7.12,,13,GT_OM_curvilinear_wdat,AE_mat,32,7.12
14,GT_OM_curvilinear_wdat,AE_mat_constant,100,4.96,,14,GT_OM_curvilinear_wdat,AE_mat_constant,56,4.96
15,GT_OM_curvilinear_wdat,AE_mat_linear,22,9.82,,15,GT_OM_curvilinear_wdat,AE_mat_linear,2,9.82
16,GT_OM_curvilinear_wdat,AE_mat_curvilinear,94,5.68,,16,GT_OM_curvilinear_wdat,AE_mat_curvilinear,48,5.68
