Scenario_#,OM,EM
1,GT_OM_perf_wdat,AE_mat
2,GT_OM_perf_wdat,AE_mat_GT
3,GT_OM_perf_wdat,AE_mat_constant
4,GT_OM_perf_wdat,AE_mat_linear
5,GT_OM_perf_wdat,AE_mat_curvilinear
6,GT_OM_perf_wdat,AE_est
7,GT_OM_GT_wdat,AE_mat
8,GT_OM_GT_wdat,AE_mat_GT
9,GT_OM_GT_wdat,AE_mat_constant
10,GT_OM_GT_wdat,AE_mat_linear
11,GT_OM_GT_wdat,AE_mat_curvilinear
12,GT_OM_GT_wdat,AE_est
13,GT_OM_constant_wdat,AE_mat
14,GT_OM_constant_wdat,AE_mat_GT
15,GT_OM_constant_wdat,AE_mat_constant
16,GT_OM_constant_wdat,AE_mat_linear
17,GT_OM_constant_wdat,AE_mat_curvilinear
18,GT_OM_constant_wdat,AE_est
19,GT_OM_linear_wdat,AE_mat
20,GT_OM_linear_wdat,AE_mat_GT
21,GT_OM_linear_wdat,AE_mat_constant
22,GT_OM_linear_wdat,AE_mat_linear
23,GT_OM_linear_wdat,AE_mat_curvilinear
24,GT_OM_linear_wdat,AE_est
25,GT_OM_curvilinear_wdat,AE_mat
26,GT_OM_curvilinear_wdat,AE_mat_GT
27,GT_OM_curvilinear_wdat,AE_mat_constant
28,GT_OM_curvilinear_wdat,AE_mat_linear
29,GT_OM_curvilinear_wdat,AE_mat_curvilinear
30,GT_OM_curvilinear_wdat,AE_est
31,GT_OM_perf_wdat,AE_mat
32,GT_OM_perf_wdat,AE_mat_GT
33,GT_OM_perf_wdat,AE_mat_constant_over
34,GT_OM_perf_wdat,AE_mat_linear_over
35,GT_OM_perf_wdat,AE_mat_curvilinear_over
36,GT_OM_perf_wdat,AE_est
37,GT_OM_GT_wdat,AE_mat
38,GT_OM_GT_wdat,AE_mat_GT
39,GT_OM_GT_wdat,AE_mat_constant_over
40,GT_OM_GT_wdat,AE_mat_linear_over
41,GT_OM_GT_wdat,AE_mat_curvilinear_over
42,GT_OM_GT_wdat,AE_est
43,GT_OM_constant_over_wdat,AE_mat
44,GT_OM_constant_over_wdat,AE_mat_GT
45,GT_OM_constant_over_wdat,AE_mat_constant_over
46,GT_OM_constant_over_wdat,AE_mat_linear_over
47,GT_OM_constant_over_wdat,AE_mat_curvilinear_over
48,GT_OM_constant_over_wdat,AE_est
49,GT_OM_linear_over_wdat,AE_mat
50,GT_OM_linear_over_wdat,AE_mat_GT
51,GT_OM_linear_over_wdat,AE_mat_constant_over
52,GT_OM_linear_over_wdat,AE_mat_linear_over
53,GT_OM_linear_over_wdat,AE_mat_curvilinear_over
54,GT_OM_linear_over_wdat,AE_est
55,GT_OM_curvilinear_over_wdat,AE_mat
56,GT_OM_curvilinear_over_wdat,AE_mat_GT
57,GT_OM_curvilinear_over_wdat,AE_mat_constant_over
58,GT_OM_curvilinear_over_wdat,AE_mat_linear_over
59,GT_OM_curvilinear_over_wdat,AE_mat_curvilinear_over
60,GT_OM_curvilinear_over_wdat,AE_est
